2023-12-19 16:12:91 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:706 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (484e6bd626ec0541a4de4d3c12c701eb)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 16:12:719 INFO  ManageBrowser :27 - Getting Computers Text : [[ChromeDriver: chrome on windows (484e6bd626ec0541a4de4d3c12c701eb)] -> xpath: //h1[normalize-space()='Computers']]
2023-12-19 16:12:541 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:124 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (dd66ddd01c0edde0f26e8230bd1c2e92)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 16:12:720 INFO  ManageBrowser :33 - Clicking On Desktops menu : [[ChromeDriver: chrome on windows (dd66ddd01c0edde0f26e8230bd1c2e92)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-12-19 16:12:730 INFO  ManageBrowser :29 - Getting Computers Text : [[ChromeDriver: chrome on windows (dd66ddd01c0edde0f26e8230bd1c2e92)] -> xpath: //h1[normalize-space()='Desktops']]
2023-12-19 16:12:494 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:152 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 16:12:945 INFO  ManageBrowser :33 - Clicking On Desktops menu : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-12-19 16:12:914 INFO  ManageBrowser :35 - Clicking On Build Your Computer link : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-12-19 16:12:979 INFO  ManageBrowser :65 - Selecting processor from drop-down : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //select[@id='product_attribute_1']]
2023-12-19 16:12:24 INFO  ManageBrowser :70 - Selecting RAM from drop-down : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //select[@id='product_attribute_2']]
2023-12-19 16:12:60 INFO  ManageBrowser :75 - Selecting 320GB HDD : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //input[@id='product_attribute_3_6']]
2023-12-19 16:12:89 INFO  ManageBrowser :85 - Selecting Vista Home OS : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //input[@id='product_attribute_4_8']]
2023-12-19 16:12:115 INFO  ManageBrowser :95 - Clicking on Microsoft Office Software : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //input[@id='product_attribute_5_10']]
2023-12-19 16:12:150 INFO  ManageBrowser :95 - Clicking on Microsoft Office Software : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //input[@id='product_attribute_5_10']]
2023-12-19 16:12:179 INFO  ManageBrowser :110 - Clicking on Add to Cart : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-12-19 16:12:378 INFO  ManageBrowser :114 - Getting Add to cart success message : [[ChromeDriver: chrome on windows (deae02615a4b97405a98455aa95f3a87)] -> xpath: //p[@class='content']]
2023-12-19 16:12:143 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:553 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 16:12:57 INFO  ManageBrowser :33 - Clicking On Desktops menu : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
2023-12-19 16:12:714 INFO  ManageBrowser :35 - Clicking On Build Your Computer link : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-12-19 16:12:754 INFO  ManageBrowser :65 - Selecting processor from drop-down : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //select[@id='product_attribute_1']]
2023-12-19 16:12:804 INFO  ManageBrowser :70 - Selecting RAM from drop-down : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //select[@id='product_attribute_2']]
2023-12-19 16:12:837 INFO  ManageBrowser :80 - Selecting 400GB HDD : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //input[@id='product_attribute_3_7']]
2023-12-19 16:12:868 INFO  ManageBrowser :90 - Selecting Vista Premier OS : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //input[@id='product_attribute_4_9']]
2023-12-19 16:12:897 INFO  ManageBrowser :95 - Clicking on Microsoft Office Software : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //input[@id='product_attribute_5_10']]
2023-12-19 16:12:926 INFO  ManageBrowser :100 - Clicking on Acrobat Reader Software : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //input[@id='product_attribute_5_11']]
2023-12-19 16:12:957 INFO  ManageBrowser :110 - Clicking on Add to Cart : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-12-19 16:12:290 INFO  ManageBrowser :114 - Getting Add to cart success message : [[ChromeDriver: chrome on windows (7c65b7ab6d8064a3c4b4052ce6cfa990)] -> xpath: //p[@class='content']]
2023-12-19 16:12:83 INFO  ManageBrowser :31 - Chrome Browser Launch .....
2023-12-19 16:12:619 INFO  ManageBrowser :36 - Clicking on computer page link : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2023-12-19 16:12:70 INFO  ManageBrowser :33 - Clicking On Desktops menu : [[ChromeDriver: chrome on windows (0d6d2236c049660e33f84bd79584cd5e)] -> xpath: //li[@class='active last']//a[normalize-space()='Desktops']]
